报告期编码,全国,北京
2021-01-31,51.3,51.6
2021-02-28,50.6,50.3
2021-03-31,51.9,50.87393235
2021-04-30,51.1,50.4
2021-05-31,51.0,50.6
2021-06-30,50.9,51.0
2021-07-31,50.4,50.19811623
2021-08-31,50.1,51.1
2021-09-30,49.6,51.24095464
2021-10-31,49.2,49.71324113
2021-11-30,50.1,51.2
2021-12-31,50.3,50.1
2022-01-31,50.1,49.3
2022-02-28,50.2,51.8
2022-03-31,49.5,50.90728762
2022-04-30,47.4,48.1
2022-05-31,49.6,42.6
2022-06-30,50.2,51.6
2022-07-31,49.0,50.6
2022-08-31,49.4,50.0
2022-09-30,50.1,50.3
2022-10-31,49.2,49.0
2022-11-30,48.0,48.1
2022-12-31,47.0,44.5
2023-01-31,50.1,45.3
2023-02-28,52.6,53.8
2023-03-31,51.9,52.4
2023-04-30,49.2,50.3
2023-05-31,48.8,50.7
2023-06-30,49.0,50.0
2023-07-31,49.3,50.0
2023-08-31,49.7,48.6
2023-09-30,50.2,50.2
2023-10-31,49.5,
